x,y
-2.961920654715028434e+01,2.499159356042355284e+00
-2.911920654715028434e+01,2.499159356042355284e+00
-2.861920654715028434e+01,2.499159356042355284e+00
-2.811920654715028434e+01,2.499159356042355284e+00
-2.761920654715028434e+01,2.499159356042355284e+00
-2.711920654715028434e+01,2.499159356042355284e+00
-2.661920654715028434e+01,2.499159356042355284e+00
-2.624763897571854443e+01,2.189096045144347524e+00
-2.576153032718168134e+01,2.155559356042353159e+00
-2.526153032718168134e+01,2.155559356042353159e+00
-2.476153032718168134e+01,2.155559356042353159e+00
-2.426153032718168134e+01,2.155559356042353159e+00
-2.377540525286206119e+01,2.122062322287862735e+00
-2.340385410721307835e+01,1.811959356042351033e+00
-2.290385410721307835e+01,1.811959356042351033e+00
-2.240385410721307835e+01,1.811959356042351033e+00
-2.190385410721307835e+01,1.811959356042351033e+00
-2.140385410721307835e+01,1.811959356042351033e+00
-2.090385410721307835e+01,1.811959356042351033e+00
-2.040385410721307835e+01,1.811959356042351033e+00
-1.990385410721307835e+01,1.811959356042351033e+00
-1.940385410721307835e+01,1.811959356042351033e+00
-1.903221402711769628e+01,2.121847615541205379e+00
-1.867866063652442321e+01,2.475401006134479776e+00
-1.856806913594684971e+01,2.929592506712056288e+00
-1.831130228661655224e+01,3.323236195351637612e+00
-1.831130228661655224e+01,3.823236195351637612e+00
-1.831130228661655224e+01,4.323236195351637612e+00
-1.831130228661655224e+01,4.823236195351637612e+00
-1.860749294017413291e+01,5.200550009599936629e+00
-1.896104633076740598e+01,5.554103400193210582e+00
-1.941523783134498160e+01,5.664694900770784969e+00
-1.980320778583164554e+01,5.935159356042355228e+00
-2.030320778583164554e+01,5.935159356042355228e+00
-2.080320778583164554e+01,5.935159356042355228e+00
-2.130320778583164554e+01,5.935159356042355228e+00
-2.168619533423285972e+01,6.217652403658665783e+00
-2.216088400580024853e+01,6.278759356042357354e+00
-2.266088400580024853e+01,6.278759356042357354e+00
-2.314940794594988915e+01,6.306465015375697369e+00
-2.351856022576885508e+01,6.622359356042352374e+00
-2.401856022576885508e+01,6.622359356042352374e+00
-2.451856022576885508e+01,6.622359356042352374e+00
-2.496617394826019520e+01,6.748831017685998468e+00
-2.537623644573745807e+01,6.965959356042354500e+00
-2.587623644573745807e+01,6.965959356042354500e+00
-2.637623644573745807e+01,6.965959356042354500e+00
-2.687623644573745807e+01,6.965959356042354500e+00
-2.723713145114807332e+01,7.301788520573879282e+00
-2.773391266570606106e+01,7.309559356042356626e+00
-2.823391266570606106e+01,7.309559356042356626e+00
-2.870034406286510631e+01,7.390601132290909092e+00
-2.909158888567467116e+01,7.653159356042351646e+00
-2.959158888567467116e+01,7.653159356042351646e+00
-3.009158888567467116e+01,7.653159356042351646e+00
-3.051711006517541236e+01,7.832967134601213743e+00
-3.094926510564327415e+01,7.996759356042353772e+00
-3.144926510564327415e+01,7.996759356042353772e+00
-3.194926510564327415e+01,7.996759356042353772e+00
-3.243451417747001386e+01,8.032371246895822381e+00
-3.280694132561188070e+01,8.340359356042355898e+00
-3.330694132561188070e+01,8.340359356042355898e+00
-3.380694132561188070e+01,8.340359356042355898e+00
-3.425128017978032346e+01,8.474737249206127032e+00
-3.466461754558049080e+01,8.683959356042350919e+00
-3.516461754558049080e+01,8.683959356042350919e+00
-3.566461754558049080e+01,8.683959356042350919e+00
-3.606804618209063307e+01,8.917103251516431683e+00
-3.652229376554909379e+01,9.027559356042353045e+00
-3.702229376554909379e+01,9.027559356042353045e+00
-3.752229376554909379e+01,9.027559356042353045e+00
-3.802229376554909379e+01,9.027559356042353045e+00
-3.852229376554909379e+01,9.027559356042353045e+00
-3.902229376554909379e+01,9.027559356042353045e+00
-3.952229376554909379e+01,9.027559356042353045e+00
-4.002229376554909379e+01,9.027559356042353045e+00
-4.052229376554909379e+01,9.027559356042353045e+00
-4.101251362780359955e+01,9.003948014855303938e+00
-4.136606701839687616e+01,8.650394624262030874e+00
-4.171962040899015278e+01,8.296841233668757809e+00
-4.207317379958342229e+01,7.943287843075480303e+00
-4.242672719017669891e+01,7.589734452482207239e+00
-4.278028058076997553e+01,7.236181061888935062e+00
-4.313383397136324504e+01,6.882627671295657557e+00
-4.348738736195652166e+01,6.529074280702385380e+00
-4.373770228661655324e+01,6.132758117360970651e+00
-4.373770228661655324e+01,5.632758117360970651e+00
-4.406212375370494527e+01,5.267137888953956626e+00
-4.408130228661654826e+01,4.775081897392360553e+00
-4.408130228661654826e+01,4.275081897392360553e+00
-4.408130228661654826e+01,3.775081897392360553e+00
-4.408130228661654826e+01,3.275081897392360553e+00
-4.437211936657713096e+01,2.895542276081776389e+00
-4.442490228661655038e+01,2.417405677423758448e+00
-4.442490228661655038e+01,1.917405677423758448e+00
-4.442490228661655038e+01,1.417405677423758448e+00
-4.442490228661655038e+01,9.174056774237584477e-01
-4.442490228661655038e+01,4.174056774237584477e-01
-4.442490228661655038e+01,-8.259432257624155227e-02
-4.442490228661655038e+01,-5.825943225762415523e-01
-4.442490228661655038e+01,-1.082594322576241552e+00
-4.442490228661655038e+01,-1.582594322576241552e+00
-4.442490228661655038e+01,-2.082594322576241552e+00
-4.442490228661655038e+01,-2.582594322576241552e+00
-4.442490228661655038e+01,-3.082594322576241552e+00
-4.442490228661655038e+01,-3.582594322576241552e+00
-4.470559092458470474e+01,-3.966329281925799144e+00
-4.505914431517797425e+01,-4.319882672519073985e+00
-4.551333581575555343e+01,-4.430474173096647483e+00
-4.589488462514095346e+01,-4.716440643957646728e+00
-4.639488462514095346e+01,-4.716440643957646728e+00
-4.689488462514095346e+01,-4.716440643957646728e+00
-4.739488462514095346e+01,-4.716440643957646728e+00
-4.788493142862773055e+01,-4.692411501946464725e+00
-4.823848481922100717e+01,-4.338858111353191660e+00
